fiscal_year,month,date,cumulative_npr_million,remittance_npr_million
2000/01,Aug,2000-08-01,2445.9,2445.9
2000/01,Sep,2000-09-01,5295.799999999999,2849.899999999999
2000/01,Oct,2000-10-01,11452.4,6156.6
2000/01,Nov,2000-11-01,15370.7,3918.300000000001
2000/01,Dec,2000-12-01,19230.4,3859.7000000000007
2000/01,Jan,2001-01-01,23154.199999999997,3923.7999999999956
2000/01,Feb,2001-02-01,27160.2,4006.0000000000036
2000/01,Mar,2001-03-01,31220.8,4060.5999999999985
2000/01,Apr,2001-04-01,35427.7,4206.899999999998
2000/01,May,2001-05-01,39238.9,3811.2000000000044
2000/01,Jun,2001-06-01,41622.3,2383.4000000000015
2000/01,Jul,2001-07-01,47216.100000000006,5593.800000000003
2001/02,Aug,2001-08-01,2954.1,2954.1
2001/02,Sep,2001-09-01,6410.5,3456.4
2001/02,Oct,2001-10-01,13151.8,6741.299999999999
2001/02,Nov,2001-11-01,17194.5,4042.7000000000007
2001/02,Dec,2001-12-01,21243.5,4049.0
2001/02,Jan,2002-01-01,25162.1,3918.5999999999985
2001/02,Feb,2002-02-01,28833.6,3671.5
2001/02,Mar,2002-03-01,32650.6,3817.0
2001/02,Apr,2002-04-01,36668.4,4017.800000000003
2001/02,May,2002-05-01,40863.1,4194.699999999997
2001/02,Jun,2002-06-01,43721.9,2858.800000000003
2001/02,Jul,2002-07-01,47536.3,3814.4000000000015
2002/03,Aug,2002-08-01,2361.1,2361.1
2002/03,Sep,2002-09-01,6956.0,4594.9
2002/03,Oct,2002-10-01,15828.0,8872.0
2002/03,Nov,2002-11-01,21035.1,5207.0999999999985
2002/03,Dec,2002-12-01,24741.399999999998,3706.2999999999993
2002/03,Jan,2003-01-01,28665.3,3923.9000000000015
2002/03,Feb,2003-02-01,33887.5,5222.200000000001
2002/03,Mar,2003-03-01,38930.1,5042.5999999999985
2002/03,Apr,2003-04-01,43570.2,4640.0999999999985
2002/03,May,2003-05-01,47718.2,4148.0
2002/03,Jun,2003-06-01,50282.200000000004,2564.0000000000073
2002/03,Jul,2003-07-01,54203.3,3921.0999999999985
2003/04,Aug,2003-08-01,5562.1,5562.1
2003/04,Sep,2003-09-01,11978.6,6416.5
